id,game_id,condition,humidity,temp,wind_speed,wind_direction
73,c90564b7-e173-4ea1-9ffb-ae33eb3c6c3e,Sunny,28,71,10,SW
74,845a4991-fe7d-48bd-a785-8892aefe4e1e,Sunny,34,53,8,E
75,b6f5c9b5-f787-4562-af13-9203b8e16964,Partly cloudy,52,82,14,ENE
76,4cf8d121-17d0-457a-80e9-ae7b71572b01,Controlled Climate,88,70,8,NNE
77,d64ecfa1-b9b8-4286-b131-40f3c2b3ad4e,Blustery and Chilly,60,49,14,NW
78,a58fcc05-e52a-4a94-b369-1f569b53521e,Partly Cloudy,87,63,4,SE
79,c7ba7b52-3e6e-4715-8b0f-1338028e369a,Sunny,34,76,2,WNW
80,182c415c-2bc8-493e-ac84-7d55f579a143,Sunny,70,73,6,W
81,07823c52-9c91-4a98-9ccd-5d79643a47d9,Clear,8,85,2,WSW
82,cfe8bd36-6fb0-46d6-8ac8-bfb3eea6b094,Cloudy,83,52,4,SW
83,9dd70a44-8ff4-499c-9119-de3c4854537f,Clear,34,89,3,W
84,ab7921d4-77c3-40e0-9a96-4682ef419a71,Sunny,59,71,5,NE
85,6d431ec3-f051-4304-bda0-26d0b9239808,Cloudy,98,47,7,SE
86,cda05cf4-8fab-4e66-b124-4f85fa23e618,A few clouds,48,64,10,NW
87,2c397287-ca84-417f-b65e-9a7316c10811,Sunny,30,59,9,SE
88,5a281e5b-2e1e-4827-b7a0-b41e36855488,Mostly Cloudy,48,50,13,W
89,757b08bc-60d5-4863-be18-9f15871c0cab,Sunny,58,85,7,S
90,442bd388-e620-4af5-873f-474f86473fc4,Clear,31,57,6,NE
91,3d4eb251-7fa3-4d18-90de-889d8a267316,Cloudy,54,85,9,SE
92,ebbbb0f7-6445-4360-b193-ace9f821b0a4,Sunny,55,75,8,SSW
93,725ca202-85a9-4ea0-9b08-34859363edde,Mostly Cloudy,82,55,14,SW
94,3891e058-192b-4cfc-a314-9570837f4aff,Sunny,54,73,5,SSW
95,09173dda-0ec7-4ab8-9e33-ddb644e5b519,Sunny,37,59,6,ENE
96,41673b50-e141-4cc5-8df6-2ce9c537bf7a,Snow shower,79,28,11,WSW
97,e85b2f3d-c9ca-4c8b-961c-d9a78b22954d,Partly Cloudy,79,86,3,S
98,b00ae1c5-f3f4-41bb-990f-231d1d8751e5,Partly Cloudy ,69,76,9,SE
99,f230828f-8b31-4397-8bb4-e556129f7b71,Mild and Cloudy,32,62,4,NW
100,ceee4d3b-def4-4ac5-bcda-b352ea519856,Controlled Climate,40,76,8,ENE
101,7934f76b-68b5-45ef-a79b-f0059507df06,Partly Cloudy,70,86,9,SE
102,3ec3e8a0-69c1-4b9b-8bd2-fc26c3841a2b,Cloudy,63,27,10,W
103,9c81dc1a-cb4e-4a21-9cd9-d12f7b5fc5b9,Sunny,51,77,6,ENE
104,54476ab9-3491-4a7c-80cb-fea915914640,Clear,43,69,6,NNW
105,ba289b54-b332-421f-ac20-6ff30fbe4050,Sunny,69,68,7,WNW
106,5ce1f98c-3e49-455a-8b1a-327a1bb094ba,Sunny,40,66,5,NNE
107,23917ea9-a8f3-4742-aaa6-4c92cb4d27e6,Partly cloudy,43,67,8,W
108,6e73d4c1-01fa-4bf2-b1f5-5fdef567023f,Rain,86,50,4,E
109,73d8f80d-8292-4263-8fde-96ef6f615d40,Sunny,28,72,3,W
110,a4bb6cc0-fabc-441e-a4f4-d8f809e1695e,Sunny,36,73,6,SW
111,bea47890-b93d-4f3c-ab8b-8d1b4dea5b16,Mostly Cloudy,34,63,3,SSW
112,d3c1d1cf-aa01-461c-9ddc-fb5aca45a1cd,,0,0,0,
113,ef223e0e-86b9-461c-b5e8-bef3c5a76d16,Clear,30,57,3,ENE
114,9a5255bd-888a-4f70-985e-bced9a1fc046,Sunny,24,80,5,WSW
115,e73b1824-a724-45d2-8dff-9e3921a605b6,Cloudy,67,69,5,N
116,0a8d7796-b527-4d72-8123-f0474ec45c7b,Fair,35,52,6,N
117,dd4c6cbd-61ec-46bc-a924-fbf071005500,Sunny,49,66,12,WSW
118,dc72e81d-5705-43a4-b775-c679ba22b495,Sunny,59,66,7,SSW
119,c79950d0-1088-4735-8a72-82a84c7ca74f,Clear,76,71,5,ESE
120,7c3800ba-4355-40b2-86fa-86ddc5da545d,Cloudy,72,71,9,E
121,5c57f5bf-6247-419d-ac40-669596c8e875,Partly cloudy,55,61,20,W
122,b1eb63ec-bd2c-46fe-884c-edd703565ddd,Clear,86,60,7,WSW
123,6e1dd77c-1c28-428a-acc7-7a0909ea7946,Sunny,38,56,7,SW
124,31aef49d-6364-49a6-afc0-b634a2d8c319,Mostly sunny,41,63,3,NNE
125,d764263c-4cec-44ad-b1fe-e6ec23f15a0c,Cloudy,51,80,13,S
126,e03638b6-6294-4492-b4ee-87f12ead0b47,Mostly Sunny,68,61,3,SW
127,98c752f8-cc3f-4338-90e1-ec6f892aad05,Sunny,59,78,6,S
128,cc1fb99b-ae09-4ce2-8d2c-1969e2eadcb3,Cloudy,60,93,6,SW
129,d0c474ec-8249-40a3-af29-5b37bafa7c74,Overcast,87,66,11,E
130,6e78054c-55e4-4d09-a121-1b46205869ac,Partly cloudy,45,80,12,WSW
131,c7a2eadd-9271-4b7f-9e90-8379dbacfc6d,Partly Sunny,77,47,5,SSE
132,6d5cb94f-b388-4ee2-8ebd-338808bff30b,Sunny,32,78,3,NW
133,53b5505f-2e66-48dc-a2ca-43288ea06f71,Clear,57,89,4,SSW
134,dd61bf9f-9ff2-43ef-9267-83793dacfc2a,Cloudy,77,59,8,SSE
135,3b597df8-fec9-428d-822c-aecfd721c55a,Cloudy,41,41,7,W
136,c62e9ee0-029e-486e-a3b6-8ae20bc71410,Sunny,49,55,5,WNW
137,157cc59e-9fe1-4f43-9d5c-6491f9c223a1,Overcast,74,75,6,WNW
138,769491dc-a533-4d6b-88dd-2ea9859c1bca,Cloudy,59,79,6,NE
139,54b632a9-42c1-4e86-ba15-d3cd9be55e04,Clear,0,0,0,
140,2b28f3dd-6bf4-47f6-85fe-cdc0e1855c28,Sunny,54,86,7,E
141,a53dcb4f-2622-460d-973e-0b4ea65007a6,Controlled Climate,70,68,14,WNW
142,189e2b4d-7104-47b7-b4cd-ca9edf70eb9b,Cloudy,87,68,5,S
143,57a161a0-fafe-4a6d-bb7d-37c249943ad1,Mostly Sunny,57,81,10,SW
144,e5d9f9e1-51fa-4ad8-9d4a-09a16c2cb141,Cloudy,61,52,5,SW
145,f780019c-8a88-4a37-b7d0-7a75f9021e79,Clear,45,61,4,WSW
146,bec1fe73-463b-4eef-b1bf-7b074c658899,Sunny,50,77,5,E
147,5aa1cd9d-7dce-43df-bc73-262f7b611738,Cloudy,56,76,6,SSW
148,8e1d945a-a063-4c2b-a1f8-a9ca94c48dc3,Cloudy,74,62,6,W
149,cc2e8c98-b931-4600-b162-8fde2f259c4b,Sunny,38,54,9,E
150,d6ea73c4-4e84-4740-a43b-2ca89c629598,Sunny,52,61,5,SW
151,0066198b-955a-4008-be7e-dc52522b4d74,Cloudy,85,45,5,SE
152,e27376dc-9954-4d29-898f-9fb44b1b1ac3,Cloudy,60,75,10,S
153,2820b156-b6ed-4aeb-96e1-3ed3ebef4255,Clear,48,64,6,SSW
154,da11f535-be88-42da-9a00-6eb05f6f1609,Mostly Sunny,48,66,7,ENE
155,6b6ec80d-d343-45f5-b734-094caa7e8d47,Overcast,88,74,3,SW
156,8d5c502c-ff64-4091-a752-813937c12292,Sunny,41,68,15,W
157,5bd62173-b0d3-4ec3-b094-70d696692e7b,Cloudy,65,80,8,NW
158,f8d7b787-7d29-4084-b329-7b178176dfd3,,37,56,5,NW
159,05ef48b5-14ce-42ff-b126-23bb30d4db44,Controlled Climate,9,106,13,SE
160,d9b59cbe-9993-4b87-a20a-360d72b3e957,Clear,57,60,4,WSW
161,13fb75af-f494-4866-a505-5186a54aadc7,Sunny,68,76,3,E
162,30bab629-9ba6-4886-90f7-22db7dde1ed1,Cloudy,45,59,4,S
163,ad0abcf7-2ac4-4f3b-a5b4-bd55791be149,Sunny,24,86,4,ENE
164,02c62a28-de25-4399-b4a4-96e977c2e11c,Sunny,50,52,4,S
165,99300f01-62f0-4829-a685-d5c0b6c4a0f2,Mostly Cloudy,90,40,3,N
166,85ad8e2a-4187-4943-aeb3-d978d3352e89,Partly Sunny,88,63,5,SW
167,c8d26447-3931-49cf-88e0-47921b1659e1,Mostly cloudy,75,78,6,SSW
168,e082956c-1350-4d9c-a6e9-444c48471a9b,Overcast,53,53,5,W
169,1cc472bb-5f30-4e2d-bb54-bc1a2de856f6,Cloudy,86,67,6,W
170,92910764-a5b4-432c-9233-d12231085206,Sunny,55,69,12,SW
171,37d2aa3e-99ac-416b-bcf5-d3c36dda47a2,Sunny,46,84,4,S
172,632681c6-d0b0-45d9-b181-c6e8cbd1850f,Overcast,90,74,4,E
173,b93cae46-a2e7-4889-8141-12c6109f1b06,Sunny,13,79,2,NW
174,01704d44-ad38-456a-8ec2-f48262e4969c,Sunny,31,89,3,NE
175,af7cff46-b98b-4c9a-a0cc-7daa9e6c70eb,Controlled Climate,70,68,14,SSW
176,ebb5f3ac-bb13-4dc4-ab8b-6c65623eac13,Thunderstorm In Vicinity,53,67,8,NE
177,35e4b92e-58ec-4042-bca5-16433b0f8135,Partly cloudy,64,76,10,E
178,b204c77d-e70f-4aa9-97cb-6c89d501888d,Clear,75,57,6,WSW
